transaction_date,transaction_time,customer_id,card_last4,merchant,merchant_category,amount,country,channel,is_fraud
2023-07-18,08:13:40,CUST-3977,3977,Merchant_338,travel,50.91,DE,pos,0
2023-01-22,11:33:08,CUST-1400,1400,Merchant_321,travel,29.11,US,pos,0
2023-01-31,12:24:09,CUST-3724,3724,Merchant_127,utilities,37.55,CA,web,0
2023-08-27,19:00:04,CUST-6688,6688,Merchant_26,restaurant,21.6,AU,pos,0
2023-03-05,10:40:29,CUST-6688,6688,Merchant_30,utilities,20.34,AU,web,0
2023-03-10,21:06:05,CUST-2654,2654,Merchant_304,retail,68.08,MX,pos,0
2023-11-07,23:12:23,CUST-2137,2137,Merchant_17,gas_station,27.95,MX,mobile,0
2023-12-09,21:04:19,CUST-7888,7888,Merchant_143,utilities,103.63,DE,pos,0
2023-05-02,21:57:22,CUST-4585,4585,Merchant_210,cash,39.22,RU,pos,0
2023-03-11,08:46:42,CUST-5349,5349,Merchant_195,utilities,10.87,BR,atm,0
2023-08-25,19:53:24,CUST-1823,1823,Merchant_334,restaurant,39.56,GB,pos,0
2023-09-05,21:18:30,CUST-2654,2654,Merchant_37,restaurant,24.13,CA,mobile,0
2023-11-05,09:11:55,CUST-6038,6038,Merchant_62,cash,30.96,FR,web,0
2023-05-24,09:56:34,CUST-4728,4728,Merchant_265,cash,16.3,FR,web,0
2023-09-12,17:58:59,CUST-9445,9445,Merchant_18,healthcare,15.99,IN,pos,0
2023-05-07,07:27:24,CUST-1441,1441,Merchant_227,grocery,71.1,AU,pos,0
2023-03-01,07:47:40,CUST-6378,6378,Merchant_225,travel,112.0,CA,web,0
2023-08-26,11:50:53,CUST-8777,8777,Merchant_186,restaurant,16.93,US,mobile,0
2023-03-10,08:20:43,CUST-2530,2530,Merchant_395,cash,30.78,FR,pos,0
2023-03-25,16:18:38,CUST-5291,5291,Merchant_221,restaurant,17.73,US,pos,0
2023-01-13,10:30:59,CUST-7797,7797,Merchant_5,travel,43.02,AU,mobile,0
2023-12-02,13:55:50,CUST-3683,3683,Merchant_12,retail,46.76,FR,mobile,0
2023-02-23,23:31:04,CUST-8179,8179,Merchant_356,cash,42.31,RU,web,1
2023-06-27,08:19:23,CUST-7572,7572,Merchant_292,online,22.91,FR,mobile,0
2023-08-24,02:58:38,CUST-9308,9308,Merchant_12,online,63.88,CA,pos,1
2023-11-23,10:24:46,CUST-8573,8573,Merchant_277,grocery,30.03,US,pos,0
2023-06-29,07:37:06,CUST-4750,4750,Merchant_292,gas_station,40.06,CA,pos,0
2023-07-16,19:56:14,CUST-9785,9785,Merchant_281,utilities,89.92,CA,pos,0
2023-04-09,14:22:03,CUST-3705,3705,Merchant_221,entertainment,137.97,US,pos,0
2023-05-20,14:11:51,CUST-5040,5040,Merchant_126,entertainment,97.42,CN,web,0
2023-03-01,06:35:21,CUST-2235,2235,Merchant_316,restaurant,17.39,FR,mobile,0
2023-10-05,12:11:27,CUST-2188,2188,Merchant_32,grocery,61.01,US,web,0
